ID;ID_MEDICO;VISITADO
1;1;NÃO
2;2;NÃO
3;3;NÃO
4;4;SIM
5;5;SIM
6;6;NÃO
7;7;SIM
8;8;NÃO
9;9;SIM
10;10;NÃO
11;11;NÃO
12;12;NÃO
13;13;NÃO
14;14;SIM
15;15;NÃO
16;16;NÃO
17;17;NÃO
18;18;NÃO
19;19;NÃO
20;20;NÃO
21;21;NÃO
22;22;NÃO
23;23;NÃO
24;24;NÃO
25;25;SIM
26;26;NÃO
27;27;NÃO
28;28;NÃO
29;29;NÃO
30;30;NÃO
31;31;NÃO
32;32;SIM
33;33;NÃO
34;34;NÃO
35;35;NÃO
36;36;NÃO
37;37;NÃO
38;38;SIM
39;39;NÃO
40;40;NÃO
41;41;NÃO
42;42;NÃO
43;43;NÃO
44;44;NÃO
45;45;SIM
46;46;NÃO
47;47;NÃO
48;48;NÃO
49;49;NÃO
50;50;SIM
51;51;NÃO
52;52;NÃO
53;53;NÃO
54;54;NÃO
55;55;NÃO
56;56;NÃO
57;57;NÃO
58;58;NÃO
59;60;NÃO
60;61;NÃO
61;62;NÃO
62;63;SIM
63;64;NÃO
64;65;NÃO
65;66;NÃO
66;67;NÃO
67;68;NÃO
68;69;SIM
69;70;SIM
70;71;SIM
71;72;NÃO
72;73;NÃO
73;74;NÃO
74;75;NÃO
75;76;NÃO
76;78;NÃO
77;79;SIM
78;80;SIM
79;81;NÃO
80;82;NÃO
81;83;SIM
82;84;NÃO
83;85;NÃO
84;86;NÃO
85;87;NÃO
86;88;NÃO
87;89;NÃO
88;90;NÃO
89;91;NÃO
90;92;NÃO
91;93;NÃO
92;94;NÃO
93;95;NÃO
94;96;NÃO
95;97;NÃO
96;98;NÃO
97;29163;NÃO
98;112;NÃO
99;113;NÃO
100;114;NÃO
101;115;NÃO
102;116;NÃO
103;117;NÃO
104;118;NÃO
105;119;NÃO
106;120;NÃO
107;121;NÃO
108;122;NÃO
109;123;NÃO
110;124;NÃO
111;125;NÃO
112;126;NÃO
113;127;NÃO
114;19906;NÃO
115;128;NÃO
116;129;NÃO
117;130;NÃO
118;132;NÃO
119;133;NÃO
120;8563;NÃO
121;135;NÃO
122;50208;NÃO
123;136;NÃO
124;137;NÃO
125;138;NÃO
126;139;NÃO
127;140;NÃO
128;141;NÃO
129;142;NÃO
130;143;NÃO
131;144;NÃO
132;145;NÃO
133;146;NÃO
134;147;NÃO
135;149;NÃO
136;190;SIM
137;191;NÃO
138;192;NÃO
139;193;NÃO
140;195;NÃO
141;196;NÃO
142;197;SIM
143;198;SIM
144;199;SIM
145;200;NÃO
146;210;NÃO
147;211;NÃO
148;212;NÃO
149;216;NÃO
150;223;NÃO
151;224;NÃO
152;225;NÃO
153;226;NÃO
154;227;NÃO
155;228;NÃO
156;229;NÃO
157;230;NÃO
158;231;NÃO
159;232;NÃO
160;233;NÃO
161;234;NÃO
